CanESM5-CanOE_370,CNRM-CM6-1_370,CNRM-CM6-1-HR_370,CNRM-ESM2-1_370,GFDL-ESM4_370,INM-CM4-8_370,INM-CM5-0_370,IPSL-CM6A-LR_370,MRI-ESM2-0_370,CanESM5-CanOE_585,CNRM-CM6-1_585,CNRM-CM6-1-HR_585,CNRM-ESM2-1_585,GFDL-ESM4_585,INM-CM4-8_585,INM-CM5-0_585,IPSL-CM6A-LR_585,MRI-ESM2-0_585
0.0031388,1.8088,0.12172,1.0221,0.00765,1.4898,2.1042,2.1129,3.69E-18,0.0008945,0.2519,0.95569,0.16428,5.30E-05,2.2676,2.8832,0.17223,0.33614
0.001384,2.4737,3.047,1.1396,0.46524,1.8871,1.9636,1.0213,1.1592,0.26629,1.5016,2.9189,0.9124,0.18659,1.7932,1.9333,3.1407,0.14193
1.1842,1.8332,2.0983,1.6498,2.1255,2.5313,1.6004,3.4044,1.2902,3.077,5.5211,2.6667,2.6345,0.49407,1.6752,1.7122,5.1151,0.95634
4.0375,4.3682,5.2945,4.0263,4.7245,1.0587,3.263,6.5688,2.0391,2.551,4.8927,3.5723,3.6587,2.4547,1.5278,2.5057,4.7112,1.7329
3.4778,3.5941,2.6139,3.3964,2.3564,3.1758,3.4211,6.4416,2.1871,5.9513,2.2454,3.9859,4.0085,3.7468,2.8249,3.5742,5.6962,2.1927
10.19,3.3806,4.4553,4.708,9.7151,3.3257,9.1928,7.3659,3.6094,16.257,5.696,5.5288,4.2032,6.3835,5.2384,4.5155,7.985,5.0828
14.876,9.5804,7.6542,7.3995,9.0445,10.562,7.0262,9.9002,3.649,11.408,8.7094,5.1292,7.2839,8.0504,7.5061,8.1814,9.8051,4.5237
15.515,7.7929,6.2726,9.3372,9.9138,12.592,9.5876,9.8043,1.6269,27.348,9.541,8.293,9.3556,6.4258,12.581,9.5486,9.181,2.7649
6.6878,7.4427,8.1493,8.4812,4.7367,9.9523,5.8835,8.9984,1.6667,7.6481,10.911,6.1814,9.1876,2.2947,7.359,9.1243,10.504,1.5349
6.1352,6.1944,4.0436,6.0655,11.447,3.1775,2.4881,8.8501,1.929,6.1025,5.4287,4.7703,5.2375,5.2633,2.909,2.0421,9.1533,1.0988
4.4552,3.0504,3.8093,2.0442,3.6126,0.59234,1.2706,3.4308,0.87597,2.902,1.7068,2.0504,2.2039,1.1624,1.8319,0.51933,3.8688,1.8343
