CanESM5-CanOE_370,CNRM-CM6-1_370,CNRM-CM6-1-HR_370,CNRM-ESM2-1_370,GFDL-ESM4_370,INM-CM4-8_370,INM-CM5-0_370,IPSL-CM6A-LR_370,MRI-ESM2-0_370,CanESM5-CanOE_585,CNRM-CM6-1_585,CNRM-CM6-1-HR_585,CNRM-ESM2-1_585,GFDL-ESM4_585,INM-CM4-8_585,INM-CM5-0_585,IPSL-CM6A-LR_585,MRI-ESM2-0_585
28.83883057,27.71068726,28.32695923,29.18312988,27.012323,26.91158447,26.25115356,26.30788574,30.59282837,28.96981201,27.65810547,27.65462646,27.33043823,27.19609985,26.70961914,26.85665283,27.10866699,33.61812744
29.47231445,27.99370728,28.57628784,28.50786743,27.95055542,27.39443359,26.76308594,26.74157104,31.1269165,29.82845459,30.25774536,29.54354248,29.10238037,28.14248047,27.0984436,27.1932312,28.01412354,31.90554199
31.58812866,30.86141357,30.6930481,31.14760742,28.85958252,28.02437744,27.16719971,27.42940674,32.97533569,31.41677246,31.24431763,31.52492676,30.99004517,29.9263855,27.59041748,27.52123413,28.37279663,32.6395813
30.79284058,32.94729004,33.73598633,31.28585205,29.77788696,29.52480469,28.60558472,27.80236206,31.11989746,29.70467529,32.32161865,31.01110229,33.9843689,30.7184082,28.54143677,28.47908936,29.56652222,35.14171753
34.17940674,34.40325317,35.30269775,33.21517334,32.50280151,31.64052734,32.33693848,29.09765015,35.4132019,32.73922119,33.71456299,33.65999756,34.48372803,32.79952393,33.27590332,31.4387146,30.83571777,35.72268066
38.53060303,35.51989136,33.14223633,35.77199707,34.49709473,32.90999756,32.54329834,30.34664307,39.7625061,38.67290649,35.08529053,33.36651001,35.19069824,34.60061035,33.33690796,33.66716919,32.45430908,38.77556763
38.59850464,34.66628418,33.68895874,34.19899902,34.98787842,35.7300354,35.30608521,30.56792603,37.19100342,37.4081665,31.99309692,34.65661011,34.43737183,33.968927,34.95299683,35.056604,30.24837646,38.56875
33.87020264,33.98793945,34.25847778,34.74935303,32.00097046,36.7156311,33.40499268,29.00789795,37.33898315,33.87770996,32.66832886,32.18065796,33.87835083,32.5074707,34.87600098,35.19783936,29.62804565,36.12606201
30.70842896,32.32183228,30.91185913,31.77907715,31.30913696,32.76400146,31.46569214,28.38594971,33.12359009,31.68093262,31.2572876,30.8494812,32.53927002,30.49541626,30.63079224,30.90541992,29.36907349,33.4994751
29.84414063,28.62511597,29.74633179,31.23800049,27.38768921,28.62203369,27.72097168,27.65596924,31.07894287,29.10469971,29.23287354,30.22322998,31.10592041,28.14852295,29.42833862,29.39885864,27.24364624,29.89727173
