CanESM5-CanOE_370,CNRM-CM6-1_370,CNRM-CM6-1-HR_370,CNRM-ESM2-1_370,GFDL-ESM4_370,INM-CM4-8_370,INM-CM5-0_370,IPSL-CM6A-LR_370,MRI-ESM2-0_370,CanESM5-CanOE_585,CNRM-CM6-1_585,CNRM-CM6-1-HR_585,CNRM-ESM2-1_585,GFDL-ESM4_585,INM-CM4-8_585,INM-CM5-0_585,IPSL-CM6A-LR_585,MRI-ESM2-0_585
24.31533203,20.97530518,20.76601563,21.68551025,22.06368408,22.94735107,22.53927002,23.34542236,24.17821655,24.14736328,21.79995117,21.01223145,22.13961182,22.4291626,22.71386108,23.03096924,23.0793396,24.22979126
24.5901123,21.23317871,20.9727417,22.23568115,22.77715454,22.72481689,22.6362854,22.95961914,24.78566895,24.16542969,21.78728638,20.52056274,22.09215698,22.36855469,22.56508789,22.67043457,23.13164673,25.02077637
22.20412598,21.31511841,21.6786438,21.93468628,20.97765503,21.82851563,21.10405884,21.85396729,24.66271362,23.95293579,21.21288452,21.21877441,22.07589111,21.62481079,22.01293335,21.12764893,22.94359741,24.71914063
19.43572388,22.0208374,20.52034912,19.81151733,16.88259277,20.60613403,20.28319702,20.82479248,23.59438477,17.61333618,20.35842285,20.16674194,19.17434082,17.7892395,19.90419922,21.13137207,19.65514526,23.04741821
16.82998047,21.55623779,21.47231445,22.46981201,18.14101563,21.45449219,21.55724487,19.46938477,23.09212646,16.88921509,22.26143799,19.86000977,20.43938599,18.00118408,20.58236084,20.36824951,19.09603271,22.64544067
18.20995483,23.20205078,22.15291748,22.83632813,23.54622803,22.64598999,22.53457031,22.67919312,24.61992798,19.26897583,23.20845947,22.56856689,24.86782227,19.84279785,22.55495605,23.33406982,21.93505249,24.40374146
26.14324341,23.30941162,22.80318604,24.91689453,24.97442017,24.08431396,24.06087646,23.35506592,26.7373291,24.16219482,23.07015381,22.39202271,25.28383789,25.60839233,23.83678589,24.5336853,23.93181763,26.25139771
25.58291016,23.27233276,21.93190918,25.71257935,25.51555786,24.66713867,24.44552002,23.55608521,26.81334839,26.24877319,22.59951172,22.3628479,24.60009155,25.10881958,25.01372681,24.33623657,24.27922974,26.73641357
25.05452881,22.09688721,21.85067139,24.36202393,24.34865723,23.45317993,22.85180054,23.03499756,25.58071289,25.45717773,22.16744385,22.09703979,23.24672852,24.64486084,23.53109131,22.99050293,24.121698,26.2307373
24.69197998,21.11837158,20.95723877,23.08861694,23.7701355,22.5899292,22.17913208,23.0312439,24.99749146,24.87127075,21.00890503,20.95003662,22.63234863,22.9026123,22.64370117,22.65813599,23.44298706,24.61040649
24.09206543,21.5881897,21.09841309,21.93166504,22.549646,22.73336182,22.63030396,22.7065979,24.45946655,24.53414307,21.15212402,20.83370361,22.22976074,22.89013062,22.71721802,22.3628479,23.30205688,23.87502441
23.94899902,21.3762146,20.49920044,21.8588501,21.85183105,22.71477661,22.49401245,22.61025391,23.77224121,24.42455444,21.35216675,20.57357178,22.12243042,22.39101563,22.74212036,22.74663696,23.39434204,23.52666626
24.46465454,21.86016235,21.09325562,21.67025146,22.51143799,22.89125977,22.56176147,22.82607422,23.88399658,24.93926392,21.67794189,20.69533691,22.27074585,22.73943481,23.15184937,23.11675415,23.7869812,24.0604187
24.2366272,21.74501953,20.78154907,22.09389648,22.86599121,23.15285645,22.39507446,22.60839233,24.00960693,24.76192627,21.83101807,20.66069946,22.1927124,23.39580688,23.05376587,23.0520874,23.33867798,24.33803711
22.65581665,21.83675537,20.17833862,21.0442749,21.13164673,22.05001221,20.80370483,21.56731567,23.93721924,24.37084351,21.53484497,21.6718689,21.39153442,21.39431152,21.37407837,21.63024292,22.64730225,24.57866821
17.83019409,21.52675781,19.85598145,19.74056396,16.76210938,18.9949585,20.39025269,21.1612793,22.5375,19.15960083,21.95375977,20.21584473,19.86400757,18.48729858,21.35634766,21.41292725,21.83553467,22.28771362
17.01152954,23.71825562,20.44265137,21.93544922,19.95079956,22.28203735,21.28374634,20.59087524,21.9157959,16.85524902,21.91869507,19.61123047,21.16176758,19.75597534,17.33843384,21.7736145,21.12297974,21.0524231
19.58336792,24.42998657,22.13106689,24.93822632,20.96639404,22.71849976,22.65838013,21.23607788,24.5130249,18.01036987,23.45983276,21.65065918,23.33669434,23.05178223,22.53417358,22.76552734,22.08654175,23.55315552
24.59554443,24.84713135,22.82457886,25.59255371,25.70592651,24.42666016,24.4477478,23.34249268,26.96138916,25.45348511,23.90569458,22.42354736,24.44729004,25.59285889,24.18187866,24.29052124,23.15630493,27.09038696
26.13625488,24.51650391,23.1355835,24.77800903,24.58907471,24.87197266,24.34093628,23.48247681,27.01775513,26.07021484,23.20769653,21.96099243,24.03133545,24.45354614,24.82149658,24.3170105,23.97890625,27.4470459
25.55657349,23.66985474,22.19411621,23.61083374,24.12761841,23.80248413,23.66948853,23.59966431,26.3739563,25.69567261,22.34041748,21.96325073,22.58245239,23.82567749,23.18691406,23.20531616,24.01802979,26.43761597
24.84200439,22.00945435,21.16057739,22.05584106,23.11947021,22.51622925,22.50270996,23.58031616,25.23269043,25.00682983,22.00219116,21.34279785,22.35744629,23.53933105,22.62423096,22.50756226,23.18517456,24.68053589
24.45528564,22.07180176,20.44869385,21.93242798,22.43807373,22.2239624,22.30202637,23.2071167,24.56994019,24.19204102,21.68590698,20.7137085,21.68706665,22.47689209,22.65264282,22.4609314,23.32695923,23.22680054
24.29436646,21.57589111,20.72036133,21.63231812,21.75216064,22.67775879,22.77495728,22.91054688,24.14629517,24.29955444,21.57735596,20.58724365,21.90096436,22.31112061,22.76577148,22.68172607,22.8774353,23.53103027
24.86062012,21.91488037,20.91732178,21.90404663,22.24511108,22.94741211,22.8774353,23.13973389,24.26049194,24.58370361,21.70961914,21.06829224,22.0453125,22.02022705,23.25328979,22.9677063,23.46184692,25.02422485
24.69695435,21.83440552,20.80281982,22.20845947,22.44237671,22.87844238,22.61794434,22.90081177,24.38094482,24.43700562,21.77126465,20.87722168,22.15612183,22.5805603,22.72817383,22.7730957,23.4482666,25.61217651
